Ticker,Year,Quarter,Maturity_Score,Exploring_Pct,Committing_Pct,Deploying_Pct,Scaling_Pct
ALLY,2023,4,68.75,25.0,0.0,50.0,25.0
ALLY,2024,1,75.0,0.0,0.0,100.0,0.0
ALLY,2024,2,75.0,0.0,0.0,100.0,0.0
ALLY,2024,3,75.0,0.0,0.0,100.0,0.0
ALLY,2024,4,75.0,12.5,0.0,62.5,25.0
ALLY,2025,1,75.0,0.0,0.0,100.0,0.0
ALLY,2025,2,58.33,16.7,50.0,16.7,16.7
ALLY,2025,3,67.5,20.0,0.0,70.0,10.0
ALLY,2025,4,37.5,50.0,50.0,0.0,0.0
ASB,2024,2,25.0,100.0,0.0,0.0,0.0
ASB,2024,4,51.79,42.9,14.3,35.7,7.1
ASB,2025,2,25.0,100.0,0.0,0.0,0.0
ASB,2025,4,57.14,33.3,9.5,52.4,4.8
AXP,2023,2,100.0,0.0,0.0,0.0,100.0
AXP,2023,3,100.0,0.0,0.0,0.0,100.0
AXP,2024,1,100.0,0.0,0.0,0.0,100.0
AXP,2024,2,100.0,0.0,0.0,0.0,100.0
AXP,2024,3,100.0,0.0,0.0,0.0,100.0
AXP,2024,4,78.0,24.0,0.0,16.0,60.0
AXP,2025,1,48.72,61.5,2.6,15.4,20.5
AXP,2025,2,75.0,28.6,0.0,14.3,57.1
AXP,2025,3,80.0,20.0,0.0,20.0,60.0
AXP,2025,4,69.08,31.6,5.3,18.4,44.7
AXP,2026,1,91.67,0.0,0.0,33.3,66.7
BAC,2023,4,60.0,30.0,20.0,30.0,20.0
BAC,2024,1,50.0,0.0,100.0,0.0,0.0
BAC,2024,2,56.25,37.5,12.5,37.5,12.5
BAC,2024,3,56.25,25.0,50.0,0.0,25.0
BAC,2024,4,65.91,22.7,9.1,50.0,18.2
BAC,2025,1,48.53,52.9,5.9,35.3,5.9
BAC,2025,2,69.64,21.4,7.1,42.9,28.6
BAC,2025,3,48.44,56.2,0.0,37.5,6.2
BAC,2025,4,50.0,53.3,0.0,40.0,6.7
BK,2024,1,67.86,14.3,14.3,57.1,14.3
BK,2024,2,70.45,9.1,18.2,54.5,18.2
BK,2024,3,61.11,33.3,0.0,55.6,11.1
BK,2024,4,67.86,28.6,0.0,42.9,28.6
BK,2025,1,58.33,33.3,0.0,66.7,0.0
BK,2025,2,53.12,37.5,18.8,37.5,6.2
BK,2025,3,53.85,38.5,15.4,38.5,7.7
BK,2025,4,71.15,23.1,0.0,46.2,30.8
BKU,2024,4,55.0,60.0,0.0,0.0,40.0
BKU,2025,4,75.0,0.0,0.0,100.0,0.0
BOKF,2024,1,50.0,50.0,0.0,50.0,0.0
BOKF,2024,2,50.0,50.0,0.0,50.0,0.0
BOKF,2024,3,50.0,50.0,0.0,50.0,0.0
BOKF,2024,4,55.0,40.0,0.0,60.0,0.0
BOKF,2025,3,50.0,50.0,0.0,50.0,0.0
BOKF,2025,4,25.0,100.0,0.0,0.0,0.0
BPOP,2023,4,50.0,50.0,0.0,50.0,0.0
BPOP,2024,1,75.0,0.0,0.0,100.0,0.0
BPOP,2024,2,25.0,100.0,0.0,0.0,0.0
BPOP,2024,4,50.0,50.0,0.0,50.0,0.0
BPOP,2025,2,25.0,100.0,0.0,0.0,0.0
C,2023,2,75.0,0.0,0.0,100.0,0.0
C,2023,3,75.0,0.0,0.0,100.0,0.0
C,2024,1,25.0,100.0,0.0,0.0,0.0
C,2024,2,61.11,22.2,11.1,66.7,0.0
C,2024,3,75.0,0.0,0.0,100.0,0.0
C,2024,4,71.43,21.4,0.0,50.0,28.6
C,2025,1,60.71,42.9,0.0,28.6,28.6
C,2025,2,63.33,33.3,6.7,33.3,26.7
C,2025,3,81.25,0.0,12.5,50.0,37.5
C,2025,4,64.0,28.0,12.0,36.0,24.0
CFG,2024,1,62.5,33.3,16.7,16.7,33.3
CFG,2024,2,75.0,0.0,0.0,100.0,0.0
CFG,2024,3,64.29,28.6,14.3,28.6,28.6
CFG,2024,4,54.69,50.0,6.2,18.8,25.0
CFG,2025,1,65.74,37.0,0.0,25.9,37.0
CFG,2025,2,63.33,33.3,6.7,33.3,26.7
CFG,2025,3,53.12,50.0,0.0,37.5,12.5
CFG,2025,4,58.06,35.5,16.1,29.0,19.4
CFR,2023,4,25.0,100.0,0.0,0.0,0.0
CFR,2024,4,41.67,66.7,0.0,33.3,0.0
CFR,2025,4,55.0,40.0,0.0,60.0,0.0
CMA,2024,1,75.0,0.0,0.0,100.0,0.0
CMA,2024,2,25.0,100.0,0.0,0.0,0.0
CMA,2024,3,25.0,100.0,0.0,0.0,0.0
CMA,2024,4,57.81,50.0,0.0,18.8,31.2
CMA,2025,1,45.0,70.0,0.0,10.0,20.0
CMA,2025,3,65.0,40.0,10.0,0.0,50.0
COF,2024,1,75.0,0.0,0.0,100.0,0.0
COF,2024,2,75.0,14.3,14.3,28.6,42.9
COF,2024,3,75.0,0.0,0.0,100.0,0.0
COF,2024,4,69.74,21.1,5.3,47.4,26.3
COF,2025,1,60.0,30.0,10.0,50.0,10.0
COF,2025,2,56.9,41.4,10.3,27.6,20.7
COF,2025,3,53.57,28.6,42.9,14.3,14.3
COF,2025,4,62.2,29.3,12.2,39.0,19.5
COLB,2023,4,25.0,100.0,0.0,0.0,0.0
COLB,2024,2,65.62,25.0,0.0,62.5,12.5
COLB,2024,3,30.0,80.0,20.0,0.0,0.0
COLB,2024,4,34.38,75.0,12.5,12.5,0.0
COLB,2025,2,54.17,33.3,33.3,16.7,16.7
DFS,2023,4,50.0,50.0,25.0,0.0,25.0
DFS,2024,2,37.5,50.0,50.0,0.0,0.0
DFS,2024,4,78.57,28.6,0.0,0.0,71.4
DFS,2025,1,100.0,0.0,0.0,0.0,100.0
DFS,2025,2,50.0,0.0,100.0,0.0,0.0
EWBC,2024,2,71.43,14.3,0.0,71.4,14.3
EWBC,2024,3,75.0,0.0,0.0,100.0,0.0
EWBC,2024,4,75.0,0.0,0.0,100.0,0.0
EWBC,2025,2,37.5,50.0,50.0,0.0,0.0
EWBC,2025,4,25.0,100.0,0.0,0.0,0.0
FCNCA,2023,4,87.5,0.0,0.0,50.0,50.0
FCNCA,2024,4,71.43,28.6,0.0,28.6,42.9
FCNCA,2025,2,53.12,50.0,0.0,37.5,12.5
FCNCA,2025,3,53.12,50.0,0.0,37.5,12.5
FHN,2023,4,80.0,0.0,0.0,80.0,20.0
FHN,2024,2,68.75,25.0,0.0,50.0,25.0
FHN,2024,4,83.33,0.0,0.0,66.7,33.3
FHN,2025,2,75.0,33.3,0.0,0.0,66.7
FITB,2023,4,75.0,0.0,0.0,100.0,0.0
FITB,2024,3,30.0,80.0,20.0,0.0,0.0
FITB,2024,4,64.67,23.9,13.0,43.5,19.6
FITB,2025,1,75.0,0.0,0.0,100.0,0.0
FITB,2025,2,75.0,0.0,0.0,100.0,0.0
FITB,2025,3,75.0,0.0,0.0,100.0,0.0
FITB,2025,4,67.86,14.3,14.3,57.1,14.3
FITB,2026,1,75.0,0.0,0.0,100.0,0.0
FLG,2024,1,40.62,68.8,6.2,18.8,6.2
FLG,2024,2,39.42,65.4,15.4,15.4,3.8
FLG,2024,4,36.11,77.8,11.1,0.0,11.1
FLG,2025,3,68.75,25.0,0.0,50.0,25.0
FNB,2023,4,75.0,0.0,0.0,100.0,0.0
FNB,2024,1,25.0,100.0,0.0,0.0,0.0
FNB,2024,2,58.33,33.3,33.3,0.0,33.3
FNB,2024,3,75.0,0.0,33.3,33.3,33.3
FNB,2024,4,50.0,50.0,0.0,50.0,0.0
FNB,2025,1,62.5,25.0,12.5,50.0,12.5
FNB,2025,2,67.5,20.0,10.0,50.0,20.0
FNB,2025,3,51.56,43.8,12.5,37.5,6.2
FNB,2025,4,25.0,100.0,0.0,0.0,0.0
GS,2023,3,75.0,0.0,0.0,100.0,0.0
GS,2023,4,38.89,66.7,11.1,22.2,0.0
GS,2024,1,50.0,33.3,33.3,33.3,0.0
GS,2024,2,50.0,25.0,50.0,25.0,0.0
GS,2024,3,50.0,40.0,20.0,40.0,0.0
GS,2024,4,48.96,45.8,25.0,16.7,12.5
GS,2025,1,50.0,40.0,20.0,40.0,0.0
GS,2025,2,58.33,33.3,13.3,40.0,13.3
GS,2025,3,55.0,40.0,10.0,40.0,10.0
GS,2025,4,58.33,33.3,33.3,0.0,33.3
HBAN,2024,2,75.0,33.3,0.0,0.0,66.7
HBAN,2024,4,62.5,33.3,0.0,50.0,16.7
HBAN,2025,1,25.0,100.0,0.0,0.0,0.0
HBAN,2025,2,43.75,50.0,25.0,25.0,0.0
HBAN,2025,3,75.0,0.0,0.0,100.0,0.0
HBAN,2025,4,64.58,25.0,16.7,33.3,25.0
JPM,2024,2,43.75,37.5,50.0,12.5,0.0
JPM,2024,3,41.67,66.7,0.0,33.3,0.0
JPM,2024,4,72.5,10.0,10.0,60.0,20.0
JPM,2025,1,76.67,13.3,0.0,53.3,33.3
JPM,2025,2,51.85,37.0,25.9,29.6,7.4
JPM,2025,3,77.94,11.8,5.9,41.2,41.2
JPM,2025,4,50.0,47.6,9.5,38.1,4.8
JPM,2026,1,50.0,0.0,100.0,0.0,0.0
KEY,2024,4,68.75,25.0,25.0,0.0,50.0
KEY,2025,1,52.63,47.4,15.8,15.8,21.1
KEY,2025,2,75.0,0.0,0.0,100.0,0.0
KEY,2025,4,61.11,37.0,11.1,22.2,29.6
MS,2024,1,72.5,27.5,0.0,27.5,45.0
MS,2024,2,66.46,31.7,2.4,34.1,31.7
MS,2024,3,55.36,42.9,16.7,16.7,23.8
MS,2024,4,57.95,40.9,4.5,36.4,18.2
MS,2025,1,61.25,37.5,7.5,27.5,27.5
MS,2025,2,45.83,66.7,0.0,16.7,16.7
MS,2025,3,70.83,23.8,4.8,35.7,35.7
MS,2025,4,54.17,50.0,4.2,25.0,20.8
MTB,2024,2,37.5,50.0,50.0,0.0,0.0
MTB,2024,4,47.22,55.6,11.1,22.2,11.1
MTB,2025,2,37.5,50.0,50.0,0.0,0.0
MTB,2025,3,75.0,0.0,0.0,100.0,0.0
MTB,2025,4,45.0,60.0,10.0,20.0,10.0
NTRS,2023,4,37.5,50.0,50.0,0.0,0.0
NTRS,2024,1,70.83,25.0,0.0,41.7,33.3
NTRS,2024,2,62.5,37.5,0.0,37.5,25.0
NTRS,2024,3,55.36,42.9,16.7,16.7,23.8
NTRS,2024,4,55.21,45.8,8.3,25.0,20.8
NTRS,2025,1,70.83,25.0,0.0,41.7,33.3
NTRS,2025,2,63.89,33.3,0.0,44.4,22.2
NTRS,2025,3,80.0,0.0,0.0,80.0,20.0
ONB,2024,3,30.0,80.0,20.0,0.0,0.0
ONB,2024,4,75.0,0.0,0.0,100.0,0.0
ONB,2025,2,50.0,0.0,100.0,0.0,0.0
ONB,2025,3,50.0,50.0,0.0,50.0,0.0
ONB,2025,4,62.5,35.7,7.1,28.6,28.6
PB,2024,4,45.0,60.0,0.0,40.0,0.0
PB,2025,1,75.0,0.0,0.0,100.0,0.0
PB,2025,2,75.0,0.0,0.0,100.0,0.0
PB,2025,3,75.0,0.0,0.0,100.0,0.0
PNC,2024,1,75.0,16.7,0.0,50.0,33.3
PNC,2024,2,72.22,22.2,11.1,22.2,44.4
PNC,2024,3,56.82,36.4,0.0,63.6,0.0
PNC,2024,4,67.86,28.6,0.0,42.9,28.6
PNC,2025,1,54.55,36.4,9.1,54.5,0.0
PNC,2025,2,52.5,40.0,20.0,30.0,10.0
PNC,2025,3,48.61,50.0,11.1,33.3,5.6
PNC,2025,4,56.25,45.0,5.0,30.0,20.0
PNFP,2023,4,100.0,0.0,0.0,0.0,100.0
PNFP,2024,4,56.25,50.0,0.0,25.0,25.0
PNFP,2025,2,53.57,28.6,28.6,42.9,0.0
RF,2023,4,75.0,0.0,0.0,100.0,0.0
RF,2024,2,46.43,14.3,85.7,0.0,0.0
RF,2024,4,75.0,0.0,0.0,100.0,0.0
RF,2025,1,60.71,28.6,0.0,71.4,0.0
RF,2025,2,57.14,14.3,42.9,42.9,0.0
RF,2025,3,62.12,33.3,9.1,33.3,24.2
RJF,2024,2,50.0,0.0,100.0,0.0,0.0
RJF,2024,4,50.0,50.0,0.0,50.0,0.0
RJF,2025,2,57.95,36.4,9.1,40.9,13.6
RJF,2025,4,60.0,40.0,0.0,40.0,20.0
RJF,2026,2,50.0,0.0,100.0,0.0,0.0
SCHW,2023,4,100.0,0.0,0.0,0.0,100.0
SCHW,2024,1,62.5,30.6,16.7,25.0,27.8
SCHW,2024,4,62.5,50.0,0.0,0.0,50.0
SF,2023,4,25.0,100.0,0.0,0.0,0.0
SF,2024,1,61.05,27.9,7.0,58.1,7.0
SF,2024,2,56.0,36.0,8.0,52.0,4.0
SF,2024,3,55.88,41.2,5.9,41.2,11.8
SF,2024,4,56.36,37.3,6.8,49.2,6.8
SF,2025,2,25.0,100.0,0.0,0.0,0.0
SF,2025,3,71.59,18.2,0.0,59.1,22.7
SF,2025,4,87.5,0.0,0.0,50.0,50.0
SNV,2023,4,68.75,0.0,50.0,25.0,25.0
SNV,2024,2,58.33,33.3,0.0,66.7,0.0
SNV,2024,4,62.5,30.0,10.0,40.0,20.0
SNV,2025,1,75.0,0.0,0.0,100.0,0.0
SNV,2025,2,65.0,20.0,0.0,80.0,0.0
SNV,2025,3,75.0,0.0,0.0,100.0,0.0
SOFI,2023,2,100.0,0.0,0.0,0.0,100.0
SOFI,2023,3,62.5,50.0,0.0,0.0,50.0
SOFI,2024,1,59.38,37.5,12.5,25.0,25.0
SOFI,2024,2,60.0,40.0,10.0,20.0,30.0
SOFI,2024,3,68.75,25.0,12.5,25.0,37.5
SOFI,2024,4,52.08,50.0,8.3,25.0,16.7
SOFI,2025,1,62.5,50.0,0.0,0.0,50.0
SOFI,2025,2,59.62,38.5,7.7,30.8,23.1
SOFI,2025,3,60.42,35.4,12.5,27.1,25.0
SOFI,2025,4,58.04,42.9,7.1,25.0,25.0
SSB,2024,2,75.0,0.0,0.0,100.0,0.0
SSB,2024,4,64.58,33.3,0.0,41.7,25.0
SSB,2025,1,75.0,0.0,0.0,100.0,0.0
SSB,2025,2,75.0,0.0,0.0,100.0,0.0
SSB,2025,3,75.0,0.0,0.0,100.0,0.0
SSB,2025,4,69.12,29.4,5.9,23.5,41.2
STT,2024,1,75.0,0.0,0.0,100.0,0.0
STT,2024,2,50.0,33.3,33.3,33.3,0.0
STT,2024,3,50.0,50.0,0.0,50.0,0.0
STT,2024,4,52.27,36.4,27.3,27.3,9.1
STT,2025,1,25.0,100.0,0.0,0.0,0.0
STT,2025,2,75.0,25.0,0.0,25.0,50.0
STT,2025,3,75.0,25.0,0.0,25.0,50.0
STT,2025,4,58.33,40.0,6.7,33.3,20.0
SYF,2024,2,75.0,0.0,0.0,100.0,0.0
SYF,2024,4,75.0,33.3,0.0,0.0,66.7
SYF,2025,2,62.5,16.7,16.7,66.7,0.0
SYF,2025,4,75.0,13.3,13.3,33.3,40.0
TFC,2023,4,81.25,0.0,0.0,75.0,25.0
TFC,2024,1,65.62,25.0,12.5,37.5,25.0
TFC,2024,2,25.0,100.0,0.0,0.0,0.0
TFC,2024,3,41.67,66.7,0.0,33.3,0.0
TFC,2024,4,65.38,30.8,0.0,46.2,23.1
TFC,2025,2,25.0,100.0,0.0,0.0,0.0
TFC,2025,3,25.0,100.0,0.0,0.0,0.0
TFC,2025,4,60.0,40.0,20.0,0.0,40.0
UMBF,2023,4,75.0,0.0,0.0,100.0,0.0
UMBF,2024,2,37.5,50.0,50.0,0.0,0.0
UMBF,2024,4,75.0,0.0,0.0,100.0,0.0
USB,2024,2,25.0,100.0,0.0,0.0,0.0
USB,2024,4,62.5,25.0,0.0,75.0,0.0
USB,2025,1,45.0,40.0,40.0,20.0,0.0
USB,2025,2,29.17,83.3,16.7,0.0,0.0
USB,2025,4,50.0,33.3,33.3,33.3,0.0
VLY,2023,4,66.67,33.3,0.0,33.3,33.3
VLY,2024,1,75.0,0.0,0.0,100.0,0.0
VLY,2024,2,75.0,0.0,0.0,100.0,0.0
VLY,2024,3,30.0,80.0,20.0,0.0,0.0
VLY,2024,4,67.5,30.0,0.0,40.0,30.0
VLY,2025,2,75.0,33.3,0.0,0.0,66.7
VLY,2025,3,100.0,0.0,0.0,0.0,100.0
VLY,2025,4,33.33,66.7,33.3,0.0,0.0
WAL,2024,2,81.25,0.0,0.0,75.0,25.0
WAL,2024,4,86.11,0.0,0.0,55.6,44.4
WAL,2025,2,25.0,100.0,0.0,0.0,0.0
WAL,2025,3,75.0,0.0,0.0,100.0,0.0
WAL,2025,4,50.0,50.0,0.0,50.0,0.0
WBS,2023,4,50.0,50.0,0.0,50.0,0.0
WBS,2024,1,62.5,25.0,0.0,75.0,0.0
WBS,2024,2,62.5,37.5,0.0,37.5,25.0
WBS,2024,3,25.0,100.0,0.0,0.0,0.0
WBS,2024,4,60.42,33.3,8.3,41.7,16.7
WBS,2025,1,37.5,50.0,50.0,0.0,0.0
WBS,2025,2,47.22,55.6,11.1,22.2,11.1
WBS,2025,3,50.0,0.0,100.0,0.0,0.0
WFC,2024,2,83.33,16.7,0.0,16.7,66.7
WFC,2024,4,75.0,0.0,0.0,100.0,0.0
WFC,2025,2,60.0,40.0,20.0,0.0,40.0
WFC,2025,3,25.0,100.0,0.0,0.0,0.0
WFC,2025,4,25.0,100.0,0.0,0.0,0.0
WTFC,2024,2,59.38,37.5,12.5,25.0,25.0
WTFC,2024,3,100.0,0.0,0.0,0.0,100.0
WTFC,2024,4,54.17,50.0,0.0,33.3,16.7
ZION,2023,2,75.0,0.0,0.0,100.0,0.0
ZION,2023,3,75.0,0.0,0.0,100.0,0.0
ZION,2023,4,50.0,33.3,33.3,33.3,0.0
ZION,2024,1,62.5,50.0,0.0,0.0,50.0
ZION,2024,2,62.5,50.0,0.0,0.0,50.0
ZION,2024,3,62.5,50.0,0.0,0.0,50.0
ZION,2024,4,55.0,40.0,20.0,20.0,20.0
ZION,2025,1,100.0,0.0,0.0,0.0,100.0
ZION,2025,2,66.67,16.7,16.7,50.0,16.7
ZION,2025,3,75.0,0.0,0.0,100.0,0.0
ZION,2025,4,37.5,66.7,16.7,16.7,0.0
